Age,MonthlyIncome,YearsAtCompany,TotalWorkingYears,DistanceFromHome,JobSatisfaction,WorkLifeBalance,OverTime,NumCompaniesWorked,TrainingTimesLastYear,Attrition
23,59379,3,4,39,3,3,Yes,5,4,No
49,156352,20,29,3,1,3,No,1,4,No
31,70031,11,13,41,4,2,No,5,4,No
54,133788,19,25,23,3,1,Yes,6,4,No
39,28836,5,9,44,2,1,Yes,2,2,Yes
37,63734,14,19,14,4,4,No,1,4,No
58,87580,0,19,35,3,4,Yes,7,6,No
42,114461,14,26,19,4,4,Yes,4,0,No
57,126799,6,20,25,3,4,No,7,4,No
36,61458,2,18,21,4,4,Yes,3,0,No
27,24277,6,8,15,4,4,No,5,6,No
53,119198,8,24,2,1,1,Yes,3,3,Yes
50,74688,8,14,38,3,2,No,0,2,No
40,113394,13,19,46,3,3,Yes,7,1,No
36,107969,3,17,35,4,4,Yes,4,0,No
22,18457,2,3,31,4,1,Yes,1,0,No
25,18000,3,7,20,2,3,No,5,3,No
56,115898,17,21,4,3,1,No,8,6,No
41,77673,3,8,16,2,2,No,7,0,No
53,88433,1,24,25,3,1,No,6,1,No
59,37144,0,8,2,2,1,No,7,6,No
22,26099,3,4,34,2,2,No,3,5,No
43,18000,0,1,26,3,2,No,0,6,No
42,93979,13,18,14,1,2,No,0,5,No
30,84069,2,5,24,3,3,No,5,0,No
60,46256,1,3,30,2,4,No,0,2,No
38,82900,7,20,39,3,4,Yes,7,5,No
41,127479,20,20,36,2,1,No,6,5,No
52,92172,1,9,16,3,3,Yes,7,1,No
52,107340,9,10,31,3,1,Yes,8,3,No
25,29499,0,7,39,2,3,No,0,5,Yes
30,42568,0,6,36,1,4,Yes,4,3,No
56,71510,5,9,15,1,1,Yes,0,2,No
25,32410,0,0,9,2,2,No,8,0,No
50,57175,3,3,18,1,2,No,6,6,No
21,32483,1,5,18,2,4,Yes,6,1,No
31,88466,4,12,1,3,4,No,4,1,No
40,72416,1,14,46,1,2,No,7,6,No
32,60339,1,13,2,3,2,No,8,4,No
53,163791,3,33,39,3,1,No,8,0,No
35,55446,11,17,36,1,1,No,4,2,No
23,51100,5,5,19,4,4,Yes,7,4,No
22,33501,0,5,17,2,4,Yes,7,2,No
56,61683,1,2,44,3,3,No,2,5,Yes
38,94434,18,20,14,1,3,No,6,0,No
46,153597,28,28,46,3,1,No,4,3,No
45,135807,10,22,30,4,3,No,8,4,No
48,64795,8,8,6,4,2,No,1,2,No
37,96420,16,18,9,3,1,No,6,4,No
39,77045,6,10,28,4,1,No,5,1,No
58,188966,4,24,3,1,2,No,2,6,No
29,53404,5,7,19,4,1,Yes,2,6,Yes
38,52065,0,8,23,1,4,Yes,4,5,No
22,42662,1,3,2,3,1,Yes,4,3,No
53,67968,4,6,42,1,1,No,7,1,No
53,93596,13,18,14,4,1,No,1,3,No
30,54527,0,10,26,4,3,Yes,0,6,No
26,53297,3,4,44,4,1,No,0,4,No
37,52606,7,8,28,3,3,Yes,8,1,No
38,34297,0,0,2,2,2,No,3,4,Yes
43,67938,6,11,50,3,2,No,6,1,Yes
47,62263,2,9,28,2,4,Yes,2,6,Yes
46,86881,16,17,16,3,4,No,5,4,Yes
47,133329,8,29,6,4,2,No,4,2,No
26,18305,0,1,40,3,3,Yes,4,3,Yes
22,21613,0,0,26,4,3,No,4,5,No
21,27314,1,5,14,4,4,No,8,5,No
29,68934,4,9,8,1,4,Yes,1,5,No
38,55121,2,3,2,2,3,Yes,7,6,No
26,53391,3,6,38,3,2,Yes,5,3,No
22,42729,2,2,34,3,4,No,2,6,No
38,106461,3,18,44,1,4,No,3,3,No
32,58306,13,13,40,4,1,No,0,2,No
55,129225,18,22,27,3,4,No,2,3,No
45,110878,6,16,39,2,2,No,1,2,No
29,52276,11,11,13,1,4,No,5,1,No
37,88390,18,19,10,3,1,No,0,4,No
26,51630,2,6,11,1,4,No,7,0,No
41,111754,2,25,37,4,2,No,7,5,No
43,50470,5,9,50,2,1,No,6,5,No
45,83210,10,13,1,3,4,No,7,4,No
45,27101,0,2,26,3,1,No,6,6,No
26,53486,2,8,48,2,3,Yes,0,1,Yes
44,61943,2,8,43,2,4,No,2,5,No
51,114178,12,22,6,4,3,Yes,3,4,No
46,48378,1,10,50,2,3,Yes,6,0,No
43,116522,10,25,13,3,3,Yes,2,5,No
25,78302,1,8,37,4,4,No,5,6,Yes
49,173978,12,32,47,2,3,No,3,5,No
43,122906,3,26,49,4,2,No,3,5,No
30,71424,12,12,43,4,2,No,6,3,No
34,106916,11,14,28,3,3,No,2,0,No
39,36864,8,10,6,1,4,Yes,5,0,No
