Age,Income,LoanAmount,CreditScore,EmploymentYears,ExistingLoans,MonthlyDebt,LoanTerm,PreviousDefault,HomeOwnership,Default
55,975193,740398,658,14,1,20412,24,No,Mortgage,0
53,567948,674910,660,24,0,13004,36,No,Own,0
29,422978,70898,807,16,1,458,36,Yes,Mortgage,0
50,700543,784335,662,25,0,1101,12,No,Rent,1
21,635314,890879,634,0,5,43287,36,No,Mortgage,1
25,913820,796926,500,9,2,33127,60,No,Rent,0
52,767183,1075956,591,18,4,26618,36,No,Mortgage,0
48,174730,575480,762,15,2,30373,36,No,Mortgage,1
60,596441,585716,552,7,0,18848,36,No,Own,1
23,891454,1051237,615,7,4,33328,60,No,Own,1
55,889817,660012,676,15,0,1273,24,Yes,Own,0
35,663561,568687,776,17,0,16287,60,Yes,Rent,0
43,1036698,753019,638,16,3,20237,60,No,Own,0
38,741249,750097,775,18,4,26506,24,No,Mortgage,0
34,185264,265405,710,3,1,11413,60,Yes,Own,0
41,437554,60495,761,9,5,24523,36,No,Rent,0
25,355097,366652,712,4,3,22095,36,No,Rent,0
34,624075,595312,635,4,3,14554,24,No,Rent,0
38,355506,50000,639,13,3,15820,36,No,Rent,0
43,673944,420496,735,19,2,9564,60,Yes,Rent,0
62,929788,483958,744,29,4,26511,12,No,Rent,0
28,350367,625935,622,11,4,40243,12,No,Mortgage,0
47,152426,240097,799,19,1,10215,24,No,Own,0
62,552649,774623,632,10,0,20796,36,No,Mortgage,1
40,663254,50000,669,25,2,16153,12,No,Rent,0
45,689020,65397,505,6,0,662,60,No,Own,0
41,819148,656195,631,8,0,12151,60,No,Rent,0
57,150000,717874,628,29,1,35454,24,No,Rent,1
39,620280,173686,667,21,2,25295,84,No,Mortgage,0
36,474652,1494226,645,18,4,26133,60,No,Mortgage,1
58,1306825,658330,804,28,2,23902,60,No,Rent,0
58,480200,849659,758,26,2,24386,84,No,Rent,1
36,498580,403234,792,14,4,54197,12,No,Mortgage,0
21,669876,766108,722,5,4,34790,48,No,Rent,0
65,1249305,548454,622,23,5,27632,36,Yes,Mortgage,0
47,520801,796177,633,19,5,42821,36,No,Rent,1
53,522903,898991,839,23,1,7426,60,No,Rent,0
35,881170,918338,423,7,0,14101,60,No,Rent,1
32,150000,654442,695,13,1,14785,60,No,Rent,1
58,886441,513651,534,32,3,45550,48,No,Rent,0
36,391529,307547,673,19,2,11291,60,No,Rent,0
63,821455,421567,606,14,0,7738,60,No,Mortgage,0
27,983453,50000,770,10,3,28058,60,No,Rent,0
53,635426,939534,602,20,5,29861,24,No,Mortgage,0
30,872691,1241575,520,8,3,21285,84,Yes,Mortgage,0
29,996245,135970,796,8,4,19878,48,No,Own,0
44,702641,460213,700,18,2,9099,60,Yes,Rent,0
59,778219,185831,721,18,1,15704,36,No,Rent,0
37,510324,446275,794,13,4,46940,12,No,Mortgage,0
25,589405,623387,711,7,3,21443,12,Yes,Mortgage,0
41,548336,214935,738,8,1,2387,36,No,Rent,0
45,540071,50000,655,16,5,42427,60,No,Mortgage,0
28,685557,166285,602,12,0,29921,36,No,Rent,1
55,760744,153822,691,14,3,37180,84,Yes,Mortgage,0
28,464552,842661,767,0,3,20717,84,No,Rent,0
37,923986,800847,646,5,3,27014,60,Yes,Rent,1
52,1304199,668152,769,27,2,8264,48,No,Own,0
48,1062027,462429,582,13,3,62285,36,No,Rent,0
26,1035698,1065729,612,8,5,32795,60,No,Own,0
35,1378492,115579,792,16,4,37389,36,No,Mortgage,0
60,594633,706775,707,27,5,27628,84,Yes,Mortgage,0
47,797267,794234,781,20,0,16682,60,No,Own,0
65,937177,425753,521,27,1,30564,36,No,Rent,0
25,628378,50000,646,8,4,50428,24,Yes,Mortgage,0
55,150000,312209,712,24,3,16083,60,No,Mortgage,1
32,212776,1061549,582,12,0,1656,60,Yes,Own,1
41,804256,677958,716,3,1,14742,48,No,Mortgage,0
34,1676239,633242,714,13,4,35322,12,No,Mortgage,0
59,298542,474349,748,7,1,20384,48,No,Rent,0
23,549474,50000,668,5,4,54725,24,Yes,Mortgage,1
21,1123115,1097194,771,4,2,27035,36,No,Mortgage,0
51,327913,390623,627,13,0,30900,84,No,Rent,0
64,1335198,1002069,533,22,1,38429,60,No,Own,0
62,703488,510224,724,0,5,16034,24,No,Rent,0
27,1068104,153530,564,10,1,5447,48,Yes,Mortgage,0
31,688293,100075,631,13,4,43787,60,No,Mortgage,0
46,832489,61560,608,18,1,20443,12,No,Own,0
37,696100,885291,569,20,0,5926,84,No,Own,1
54,1115083,545789,594,29,2,22217,60,No,Mortgage,0
23,969571,368403,850,8,4,39532,36,No,Own,0
39,623514,1063561,605,2,3,13222,60,No,Own,1
37,1128579,329246,738,7,4,27215,48,No,Rent,0
46,873568,304225,576,19,0,2108,24,No,Own,0
36,1296861,651991,599,2,1,25296,36,No,Rent,1
33,254254,397298,583,11,3,4387,36,No,Rent,1
25,601482,143969,614,8,1,27111,36,No,Rent,0
23,603323,466540,641,3,2,20961,60,No,Rent,0
35,504989,236559,703,14,2,3923,36,No,Rent,0
38,1284177,714584,576,6,1,16683,36,No,Rent,0
65,746559,1382383,473,14,2,24341,36,Yes,Rent,1
60,631095,50000,770,10,1,17804,60,Yes,Own,0
38,1054723,248185,831,9,4,23397,60,No,Mortgage,0
65,1236817,1094900,823,18,5,47368,36,No,Rent,0
51,954272,740967,607,21,0,15991,48,No,Rent,0
39,257429,649508,677,6,0,30227,60,Yes,Rent,1
60,867242,294938,661,0,0,15332,36,No,Own,0
62,836565,1080867,692,17,3,17215,24,No,Rent,0
42,373385,438164,700,24,0,1902,36,No,Rent,0
36,760424,673286,728,18,2,19485,60,Yes,Rent,1
62,882628,188402,787,29,4,42917,36,No,Rent,0
31,1106936,599567,560,10,0,26884,48,Yes,Rent,0
65,764043,50000,622,20,2,29914,36,No,Rent,0
38,910918,277011,507,18,0,14829,60,No,Own,0
41,1009836,746335,656,16,4,18895,60,No,Own,0
57,744105,862517,669,5,0,13739,60,No,Own,1
61,150111,555201,657,8,1,23567,60,No,Rent,1
63,440570,798678,819,28,1,28732,84,No,Rent,0
29,278839,462222,723,11,3,30282,24,No,Rent,0
51,514869,77171,747,15,2,31033,36,No,Rent,0
27,303932,541008,587,11,5,39685,12,No,Mortgage,0
65,607765,258365,667,21,4,42334,48,Yes,Rent,0
43,744271,733800,662,1,1,10658,60,No,Own,0
49,768202,108631,720,5,1,18013,60,No,Own,0
41,393314,402710,629,12,5,28431,24,No,Mortgage,1
59,411174,1324441,719,7,3,22041,36,No,Rent,1
21,826883,531770,638,5,5,32531,60,No,Rent,0
50,690924,69614,586,4,2,43015,48,No,Rent,0
36,402820,146517,642,15,4,14182,60,No,Rent,0
60,560213,88160,816,5,1,17271,60,Yes,Own,0
28,1282694,50000,763,3,5,30213,36,No,Rent,0
34,845919,738685,850,14,1,18239,60,No,Rent,0
53,738841,623127,502,0,2,35689,48,Yes,Own,1
39,363554,377583,701,1,2,35132,48,No,Mortgage,1
62,150000,422983,749,10,2,15829,48,Yes,Rent,1
24,705801,50000,766,3,4,25151,60,Yes,Rent,0
36,1338481,551806,776,15,0,20959,24,No,Rent,0
53,496539,65902,812,6,1,22192,60,No,Own,0
36,215610,674914,587,5,0,18843,60,Yes,Rent,1
22,892000,849364,584,2,1,7908,36,No,Rent,0
44,816259,507292,741,22,0,14237,24,No,Own,0
32,980631,322915,657,15,3,22516,84,No,Mortgage,0
61,1758169,793841,662,14,1,19680,48,No,Mortgage,0
41,384328,350807,529,16,2,13813,48,No,Mortgage,1
55,670536,50000,651,16,4,14079,60,No,Mortgage,1
59,627805,944598,792,19,3,7177,60,No,Rent,0
49,852803,575541,728,2,0,9461,60,No,Mortgage,0
35,570554,427108,735,7,3,28542,36,No,Rent,1
57,750750,234327,775,0,3,26994,60,No,Own,0
59,530748,224424,790,22,1,19689,36,Yes,Own,0
63,371555,50000,626,22,0,11600,60,No,Rent,0
65,358796,519115,542,7,3,32788,60,No,Rent,1
21,276470,131895,697,3,5,27008,24,No,Rent,0
42,1057886,452264,626,9,1,29229,36,No,Mortgage,0
54,1201692,381411,740,3,2,10238,12,No,Mortgage,0
50,910182,490303,607,9,5,30102,48,No,Rent,1
35,829985,362860,533,3,2,27263,36,No,Rent,0
55,618465,928864,850,24,1,19202,24,No,Mortgage,0
26,540524,336300,658,9,2,36397,48,No,Mortgage,0
63,546739,701347,605,4,5,45368,60,No,Mortgage,0
40,180551,371403,722,10,4,37953,36,Yes,Mortgage,1
47,713984,623373,735,6,3,5402,36,No,Rent,0
28,965995,504069,713,0,2,33646,60,No,Rent,0
64,769250,959331,818,12,4,16621,60,Yes,Rent,0
45,462599,677931,666,26,3,28854,84,Yes,Own,1
37,625070,901053,704,7,3,22017,24,No,Mortgage,1
24,636352,765658,690,3,2,31334,48,Yes,Rent,1
57,1166386,290974,472,10,0,12658,60,No,Own,0
64,715364,1338165,473,14,3,25039,36,Yes,Rent,1
43,1252186,899031,817,4,1,6378,36,No,Own,0
57,723222,521410,720,0,5,17060,24,No,Rent,0
62,179241,473064,738,7,4,30195,36,No,Rent,1
45,669153,645624,648,8,2,21325,36,No,Rent,0
51,239265,672559,692,6,2,6790,60,No,Mortgage,1
56,698069,410023,711,0,4,41926,60,Yes,Rent,0
61,553848,622589,688,0,4,17938,48,No,Rent,0
35,379159,142500,633,12,3,12110,60,No,Rent,0
39,150000,74642,652,15,5,21741,60,No,Rent,1
44,1304763,822625,850,1,1,6037,36,No,Own,0
55,1040872,467178,594,30,3,19296,36,No,Mortgage,0
46,809075,367220,658,8,0,11504,36,No,Mortgage,0
22,654838,831111,778,5,1,33234,60,No,Rent,0
31,1151029,839044,544,15,4,35815,60,No,Mortgage,1
40,653217,1138805,632,6,4,18081,60,No,Own,1
51,360640,371191,632,8,3,14463,36,Yes,Rent,0
32,820813,139299,742,14,3,33646,24,No,Mortgage,0
53,249042,885062,486,29,0,2652,36,No,Mortgage,1
62,1016549,313404,541,5,4,24283,36,No,Rent,0
56,1088831,759170,764,28,5,35262,36,No,Rent,0
35,413470,428067,687,0,4,38063,48,No,Mortgage,0
44,1356208,449698,718,10,4,2371,48,No,Own,0
46,1285774,323266,719,27,3,25473,60,Yes,Mortgage,0
46,410813,50000,699,6,3,13634,36,No,Mortgage,0
21,662550,882794,810,6,1,29085,60,No,Rent,0
46,1340573,498568,803,1,5,38133,60,No,Own,0
54,539707,640497,645,24,1,16614,36,No,Own,0
36,1188122,422434,663,17,2,10869,84,No,Mortgage,0
37,492450,437425,642,11,3,19776,36,No,Mortgage,1
65,155646,453121,721,21,4,26276,24,No,Mortgage,1
31,660990,509252,703,3,4,37542,60,No,Mortgage,0
35,569898,538326,604,17,2,9190,84,No,Own,0
51,579917,632934,769,32,5,30996,36,Yes,Mortgage,0
29,736069,623777,835,10,0,3227,36,No,Mortgage,0
65,1069206,652213,766,1,3,44375,12,No,Mortgage,0
60,1175340,396200,620,9,3,33010,36,No,Rent,0
